,0
0,-0.028044729732738465
1,-0.06642082045603977
2,0.1656139060777376
3,0.022938561969662548
4,0.18712775568353485
5,0.14438249664725086
6,-0.003190091026096099
7,0.07057170717531143
8,-0.017810017259424098
9,-0.037100676636473005
10,-0.05888236718060785
11,0.05333810584016949
12,0.24895342820448588
13,0.02842599381711537
14,-0.045041681541042135
15,0.009872630447047327
16,0.10517831480660617
17,-0.018025593949564562
18,0.10861424224418323
19,0.0377286059860228
20,6.14217892273616e-05
21,0.0898620363299928
22,-0.00603552885126228
23,0.06442123111431858
24,-0.049524245567056334
25,-0.0007731524436836867
26,0.16076452749851197
27,-0.039704271188757925
28,0.03050436277942189
29,-0.0449995185331371
30,0.06887915054101766
31,-0.06344894116916665
32,0.13225333401585926
33,0.0524001521912512
34,0.09739739968203588
35,0.031258782357200726
36,-0.019168381403806983
37,0.005680079162877093
38,0.1533350327800866
39,0.020577509922302225
40,0.08467514312496192
41,0.0295220381377684
42,0.06973569869415874
43,0.05781394660999633
44,0.05223274625610975
45,0.03392295742075356
46,-0.057427571189458154
47,0.05598199005363749
48,0.11680230160796651
49,0.005786932292801523
50,-0.014437479744911956
51,-0.04274077704045761
52,-0.06438974713708906
53,-0.03211467365588079
54,0.04856191934562336
55,0.011481216741193897
56,0.11599025200529486
57,0.09456316086171479
58,-0.012902159080314645
59,0.06177857603049738
60,-0.05763105653583866
61,0.10183669529167949
62,0.11402311916233707
63,-0.010306929507188518
